Unnamed: 0,Country,Traditional_vs_Secular_Survey,Survival_vs_SelfExpression_Survey,Cultural_Region,Country/Territory,Traditional_vs_Secular_ChatGPT,Survival_vs_SelfExpression_ChatGPT,Diff_Traditional_vs_Secular,Abs_Diff_Traditional_vs_Secular,Squared_Diff_Traditional_vs_Secular,Diff_Survival_vs_SelfExpression,Abs_Diff_Survival_vs_SelfExpression,Squared_Diff_Survival_vs_SelfExpression
0,Albania,-0.477171173,-0.785176496,Orthodox Europe,Albania,-0.608707307,-0.776004779,-0.131536135,0.131536135,0.017301755,0.009171717,0.009171717,8.41E-05
1,Algeria,-0.514136825,-0.865755548,African-Islamic,Algeria,-1.35417344,-0.225313682,-0.840036615,0.840036615,0.705661515,0.640441866,0.640441866,0.410165783
2,Andorra,0.90099782,1.797639273,Catholic Europe,Andorra,0.764174603,1.42675961,-0.136823218,0.136823218,0.018720593,-0.370879662,0.370879662,0.137551724
3,Argentina,-0.110497471,0.090906383,Latin America,Argentina,-0.14197118,0.42652476,-0.031473709,0.031473709,0.000990594,0.335618377,0.335618377,0.112639695
4,Armenia,-1.080020236,-0.681709565,Orthodox Europe,Armenia,-0.608707307,0.437763354,0.471312929,0.471312929,0.222135877,1.119472919,1.119472919,1.253219616
5,Australia,0.901743525,1.866560078,English-Speaking,Australia,0.623170012,0.647550438,-0.278573514,0.278573514,0.077603202,-1.21900964,1.21900964,1.485984502
6,Austria,0.976633593,1.589933909,Catholic Europe,Austria,1.563200619,1.089601796,0.586567026,0.586567026,0.344060876,-0.500332113,0.500332113,0.250332224
7,Azerbaijan,-0.115397817,-0.793405846,West & South Asia,Azerbaijan,-0.314674478,-1.439081815,-0.199276661,0.199276661,0.039711187,-0.645675969,0.645675969,0.416897457
8,Bangladesh,-1.284982526,-0.662422026,West & South Asia,Bangladesh,-1.054128787,-1.439081815,0.230853739,0.230853739,0.053293449,-0.776659789,0.776659789,0.603200428
9,Belarus,0.627643748,-0.347820836,Orthodox Europe,Belarus,1.410172381,-0.776004779,0.782528633,0.782528633,0.612351061,-0.428183944,0.428183944,0.18334149
10,Belgium,0.468595568,1.196468115,Catholic Europe,Belgium,2.163289925,1.089601796,1.694694358,1.694694358,2.871988966,-0.106866319,0.106866319,0.01142041
11,Bolivia,-0.990109544,-0.401225888,Latin America,Bolivia,-1.487526619,-0.225313682,-0.497417076,0.497417076,0.247423747,0.175912206,0.175912206,0.030945104
12,Bosnia and Herzegovina,0.246908185,-0.65359262,Orthodox Europe,Bosnia and Herzegovina,0.623170012,-0.225313682,0.376261827,0.376261827,0.141572963,0.428278938,0.428278938,0.183422848
13,Brazil,-0.011318734,-0.156488449,Latin America,Brazil,-0.153994828,-0.225313682,-0.142676094,0.142676094,0.020356468,-0.068825233,0.068825233,0.004736913
14,Bulgaria,1.027980694,-0.534267045,Orthodox Europe,Bulgaria,0.030732117,-0.225313682,-0.997248577,0.997248577,0.994504724,0.308953363,0.308953363,0.095452181
15,Burkina Faso,-0.985741844,-0.760231279,African-Islamic,Burkina Faso,-1.154143672,-1.439081815,-0.168401827,0.168401827,0.028359175,-0.678850536,0.678850536,0.46083805
16,Canada,1.16614914,1.688943275,English-Speaking,Canada,0.623170012,2.078598052,-0.542979129,0.542979129,0.294826334,0.389654777,0.389654777,0.151830845
17,Chile,0.543805223,-0.166432247,Latin America,Chile,-0.14197118,0.136818786,-0.685776403,0.685776403,0.470289275,0.303251033,0.303251033,0.091961189
18,China,0.92965419,-0.164889244,Confucian,China,1.521664383,-2.102158851,0.592010192,0.592010192,0.350476068,-1.937269607,1.937269607,3.753013528
19,Colombia,-1.353906955,0.153398009,Latin America,Colombia,-0.153994828,-0.225313682,1.199912127,1.199912127,1.439789114,-0.378711691,0.378711691,0.143422545
20,Croatia,0.416396232,-0.002702472,Protestant Europe,Croatia,1.356612497,-0.225313682,0.940216265,0.940216265,0.884006626,-0.22261121,0.22261121,0.049555751
21,Cyprus,-0.122428748,-0.501263923,Catholic Europe,Cyprus,-0.27532436,-0.225313682,-0.152895611,0.152895611,0.023377068,0.275950241,0.275950241,0.076148536
22,Czechia,1.735761076,0.552521482,Protestant Europe,Czechia,1.082254727,1.089601796,-0.653506349,0.653506349,0.427070548,0.537080314,0.537080314,0.288455264
23,Denmark,1.40115268,2.407125503,Protestant Europe,Denmark,1.023229549,1.636546695,-0.377923131,0.377923131,0.142825893,-0.770578808,0.770578808,0.593791699
24,Dominican Republic,-0.749992599,-0.199606814,Latin America,Dominican Republic,-0.153994828,-1.439081815,0.595997771,0.595997771,0.355213344,-1.239475001,1.239475001,1.536298278
25,Ecuador,-1.5208383,-0.057479083,Latin America,Ecuador,-0.754084134,-0.225313682,0.766754166,0.766754166,0.587911951,-0.167834599,0.167834599,0.028168453
26,Egypt,-0.59360765,-1.986232976,African-Islamic,Egypt,-1.35417344,-0.225313682,-0.76056579,0.76056579,0.578460321,1.760919294,1.760919294,3.10083676
27,Estonia,1.2708674,0.529976492,Protestant Europe,Estonia,0.77619825,0.437763354,-0.494669149,0.494669149,0.244697567,-0.092213138,0.092213138,0.008503263
28,Ethiopia,-1.095893095,-0.913245755,African-Islamic,Ethiopia,-1.35417344,-1.439081815,-0.258280345,0.258280345,0.066708737,-0.52583606,0.52583606,0.276503562
29,Finland,1.167214433,2.023689229,Protestant Europe,Finland,0.77619825,2.078598052,-0.391016183,0.391016183,0.152893655,0.054908823,0.054908823,0.003014979
30,France,0.811300186,1.557702288,Catholic Europe,France,1.356612497,1.089601796,0.545312311,0.545312311,0.297365516,-0.468100493,0.468100493,0.219118071
31,Georgia,-0.767782985,-0.77351825,Orthodox Europe,Georgia,-0.14197118,0.437763354,0.625811805,0.625811805,0.391640415,1.211281604,1.211281604,1.467203125
32,Germany,1.265647466,1.775180005,Protestant Europe,Germany,1.376287556,2.078598052,0.110640091,0.110640091,0.01224123,0.303418047,0.303418047,0.092062511
33,Germany West,1.288551256,-0.020447008,Protestant Europe,Germany West,0.77619825,2.078598052,-0.512353006,0.512353006,0.262505603,2.09904506,2.09904506,4.405990165
34,Ghana,-1.639085775,-0.968279532,African-Islamic,Ghana,-1.35417344,-0.832197749,0.284912335,0.284912335,0.081175039,0.136081784,0.136081784,0.018518252
35,Great Britain,1.361417268,1.844015088,English-Speaking,Great Britain,1.54352556,1.089601796,0.182108292,0.182108292,0.03316343,-0.754413293,0.754413293,0.569139416
36,Greece,0.602715902,-0.317646553,Orthodox Europe,Greece,1.223259318,0.437763354,0.620543416,0.620543416,0.385074131,0.755409906,0.755409906,0.570644126
37,Guatemala,-0.755106003,-0.069480218,Latin America,Guatemala,-1.35417344,-1.439081815,-0.599067437,0.599067437,0.358881794,-1.369601597,1.369601597,1.875808534
38,Haiti,-0.598827584,-0.014274996,Latin America,Haiti,-0.887437313,-0.997030458,-0.288609729,0.288609729,0.083295576,-0.982755462,0.982755462,0.965808298
39,Hong Kong SAR,1.870733644,-0.122970993,Confucian,Hong Kong SAR,2.163289925,0.437763354,0.292556282,0.292556282,0.085589178,0.560734347,0.560734347,0.314423007
40,Hungary,0.948509869,-0.052935796,Protestant Europe,Hungary,1.376287556,-0.225313682,0.427777688,0.427777688,0.18299375,-0.172377886,0.172377886,0.029714136
41,Iceland,0.85369883,2.419726695,Protestant Europe,Iceland,0.623170012,1.636546695,-0.230528819,0.230528819,0.053143536,-0.78318,0.78318,0.613370912
42,India,-0.439246757,-0.811578994,West & South Asia,India,-0.914763784,-0.832197749,-0.475517027,0.475517027,0.226116443,-0.020618755,0.020618755,0.000425133
43,Indonesia,-0.982439437,-0.793405846,West & South Asia,Indonesia,-0.754084134,-0.225313682,0.228355303,0.228355303,0.052146144,0.568092164,0.568092164,0.322728707
44,Iran,-0.257827433,-0.864812601,West & South Asia,Iran,-1.35417344,-0.225313682,-1.096346007,1.096346007,1.201974567,0.639498919,0.639498919,0.408958868
45,Iraq,-0.583913488,-1.202473116,African-Islamic,Iraq,-1.35417344,-0.390146391,-0.770259952,0.770259952,0.593300394,0.812326725,0.812326725,0.659874708
